Location,Sale Date,Sale Price,Model,Living Area,Nbhd
9769 CAVELL CIR,01/07/2022,"$260,000.00",Residential,960,Countryside
9339 RUSSELL CIR,07/22/2021,"$375,000.00",Residential,1344,Marsh Lake
8233 PENNSYLVANIA RD,07/16/2020,"$420,000.00",Residential,1690,Highwood
8262 RHODE ISLAND AVE S,01/15/2021,"$444,000.00",Residential,2348,Highwood
7325 W 83RD ST,11/18/2021,"$420,000.00",Residential,1248,Highwood
5601 W 98TH 1/2 ST,09/22/2021,"$365,900.00",Residential,1591,Hyland Greens
8100 OLD CEDAR AVE S,12/22/2021,"$15,750,018.00",Commercial,65565,
5620 W 99TH ST,06/16/2020,"$407,000.00",Residential,1724,Hyland Greens
5620 W 99TH ST,06/15/2020,"$407,000.00",Residential,1724,Hyland Greens
5801 W 99TH ST,08/25/2021,"$475,000.00",Residential,2207,Hyland Greens
5701 W 99TH ST,02/01/2021,"$438,500.00",Residential,1789,Hyland Greens
9918 YOSEMITE CIR,12/23/2020,"$467,000.00",Residential,1700,Hyland Greens
8524 PARK KNOLL CIR,08/27/2021,"$530,000.00",Residential,2062,Highwood
9201 HYLAND CREEK RD,08/05/2021,"$500,000.00",Residential,1813,Norman Ridge
9217 HYLAND CREEK CIR,10/15/2021,"$561,000.00",Residential,2846,Norman Ridge
9227 HYLAND CREEK CIR,06/02/2022,"$525,000.00",Residential,1960,Norman Ridge
9259 HYLAND CREEK RD,09/07/2022,"$510,000.00",Residential,1825,Norman Ridge
9317 HYLAND CREEK RD,08/25/2022,"$600,000.00",Residential,2578,Norman Ridge
9355 HYLAND CREEK CIR,04/04/2022,"$576,000.00",Residential,1933,Norman Ridge
9355 HYLAND CREEK CIR,12/15/2020,"$485,000.00",Residential,1933,Norman Ridge
9320 HYLAND CREEK CIR,08/31/2022,"$489,000.00",Residential,2149,Norman Ridge
9300 HYLAND CREEK CIR,01/04/2021,"$589,000.00",Residential,2909,Norman Ridge
8600 SANDRO RD,08/05/2022,"$710,000.00",Residential,2488,Norman Ridge
8637 CHALET RD,06/10/2021,"$535,000.00",Residential,2620,Norman Ridge
8733 SANDRO RD,07/12/2022,"$650,000.00",Residential,2482,Norman Ridge
6008 LUIGI CIR,10/28/2021,"$785,000.00",Residential,1840,Norman Ridge
8604 LAKEVIEW RD,09/29/2022,"$497,000.00",Residential,2339,Bush Lake
8101 W 102ND ST,06/30/2020,"$325,000.00",Residential,1030,Countryside
7709 W 101ST ST,07/22/2022,"$364,900.00",Residential,1040,Countryside
10148 UTAH CIR,06/22/2020,"$350,000.00",Residential,2010,Countryside
7721 W 100TH ST,06/11/2021,"$405,500.00",Residential,977,Countryside
7808 W 101ST ST,05/21/2021,"$463,000.00",Residential,2010,Countryside
7800 W 101ST ST,09/10/2020,"$376,000.00",Residential,1548,Countryside
10033 QUEBEC AVE S,07/26/2022,"$550,000.00",Residential,2328,Countryside
7416 W 100TH ST,07/13/2020,"$335,000.00",Residential,2058,Countryside
7516 W 100TH ST,11/16/2021,"$415,000.00",Residential,977,Countryside
7616 W 100TH ST,11/13/2020,"$380,000.00",Residential,1584,Countryside
7616 W 100TH ST,09/09/2020,"$302,200.00",Residential,1584,Countryside
7624 W 100TH ST,10/29/2020,"$335,500.00",Residential,1086,Countryside
7708 W 100TH ST,07/12/2021,"$401,234.00",Residential,1287,Countryside
7840 W 100TH ST,03/17/2022,"$460,000.00",Residential,2010,Countryside
7441 W 100TH ST CIR,03/31/2022,"$473,000.00",Residential,1548,Countryside
7501 W 100TH ST,12/05/2022,"$400,000.00",Residential,1104,Countryside
7659 W 100TH ST,03/15/2022,"$441,000.00",Residential,977,Countryside
5509 RIVER BLUFF CURVE,11/02/2021,"$815,000.00",Residential,3263,Auto Club
5333 RIVER BLUFF CURVE,04/13/2022,"$830,000.00",Residential,3639,Auto Club
5527 RIVER BLUFF DR,09/30/2022,"$590,000.00",Residential,2568,Auto Club
5507 RIVER BLUFF CIR,09/09/2020,"$565,000.00",Residential,3183,Auto Club
11431 ZION RD,09/22/2020,"$549,000.00",Residential,2779,Auto Club
11411 ZION RD,01/12/2022,"$700,000.00",Residential,2882,Auto Club
11508 ZION RD,10/27/2021,"$652,000.00",Residential,2129,Auto Club
9832 OAKLAND AVE S,06/21/2021,"$414,000.00",Residential,1268,Pond-Dakota Mission
611 E 99TH ST,11/10/2020,"$280,000.00",Residential,1352,Pond-Dakota Mission
10621 WYOMING CIR,02/17/2022,"$387,000.00",Residential,1048,Countryside
9873 AQUILA RD,06/09/2021,"$475,000.00",Residential,2013,Bush Lake
10556 LOUISIANA AVE S,11/30/2020,"$400,000.00",Residential,1236,Countryside
10517 LOUISIANA AVE S,08/19/2021,"$430,000.00",Residential,1338,Countryside
7720 W 84TH ST CIR,12/10/2020,"$560,000.00",Residential,3676,Highwood
7700 W 84TH ST CIR,04/12/2022,"$427,500.00",Residential,1788,Highwood
9935 NESBITT AVE S,02/26/2021,"$475,000.00",Residential,2168,Hyland Greens
9933 YOSEMITE RD,08/18/2021,"$442,500.00",Residential,1749,Hyland Greens
9400 XYLON AVE S,05/25/2021,"$412,700.00",Residential,1128,Bush Lake
9400 XYLON AVE S,03/16/2020,"$379,000.00",Residential,1128,Bush Lake
9516 XYLON AVE S,08/09/2021,"$475,000.00",Residential,1300,Bush Lake
9540 XYLON AVE S,08/24/2021,"$520,000.00",Residential,1540,Bush Lake
9565 YUKON AVE S,06/13/2021,"$650,000.00",Residential,2148,Bush Lake
9541 YUKON AVE S,06/01/2021,"$550,000.00",Residential,2688,Bush Lake
